track_id,artist,track,album_id,imgUrl
5P4ecRo7zssBNoWuOo3JNa,Tony Joe White,"Saturday Night in Oak Grove, Louisiana",7JUCUOyW6abeiVt3Dl3I35,https://i.scdn.co/image/ab67616d000048516643d85516aab49a52489ea4
4QSiJem2a5JdM5nJ3062kC,TootArd,Nasma Jabalyia,0acmEZwZrpPj30Tpp1MyAD,https://i.scdn.co/image/ab67616d000048519aa1da138793179dc1708bab
2wSHZRKI10w2dbFZXOmCzi,Toots Thielemans,"Theme from ""Midnight Cowboy""",5wJ4rTcelGRJgyv9zQXOXE,https://i.scdn.co/image/ab67616d0000485196c838496199554925fd13e4
43CUwxn4qrjvtltztaJz4P,Top Drawer,Song of a Sinner,1TQtU1pMPnhKv3Nz23TGMI,https://i.scdn.co/image/ab67616d00004851a6cee6ca44da1c96565ae106
0tsjdpXxCXpoDjzxx40XeE,Tord Gustavsen Quartet,Glasgow Intro,5CSFNJ2n0RRVaxyW6FDqhe,https://i.scdn.co/image/ab67616d000048513ff19d4d148e1f5c55a83939
0W3lnLMzsAPZmqUVlnbcFX,Toufic Farroukh,A Night in Damascus,4ROXK7Hp0z9BJtX5j4cndo,https://i.scdn.co/image/ab67616d00004851a30816f69ea2080bd9341a8c
3w3u2Lv9JifbkMrbrALBiC,Toufic Farroukh,Ali au pays des merveilles,24nQLenPkikcWtkfXtYUcp,https://i.scdn.co/image/ab67616d00004851153fd4b79d2d256432cf7f82
2IEnKinzR6RYCB3h86NoU4,Toufic Farroukh,Angela,1oaMXT9IlDpD0eHoWxMQ0F,https://i.scdn.co/image/ab67616d000048519e67ee17f37d71c8d48d32d9
2Ap9As6xjcSkCJhx5GTRAh,Toufic Farroukh,"Arrivé conseil - From ""Al Mahd""",4oCfkOrSG3dZCKoVUeAh0V,https://i.scdn.co/image/ab67616d000048510b528f6be789c4755ee96b70
4HOXeGPUIPS6XnyjKr5TEr,Toufic Farroukh,"Best Friends Forever - From ""Nour""",4oCfkOrSG3dZCKoVUeAh0V,https://i.scdn.co/image/ab67616d000048510b528f6be789c4755ee96b70
3STTLWSU3fL2UhQ06AAmaW,Toufic Farroukh,Blues for Ali,4ROXK7Hp0z9BJtX5j4cndo,https://i.scdn.co/image/ab67616d00004851a30816f69ea2080bd9341a8c
192Pc9ePeg7k75XHdBtjce,Toufic Farroukh,Callipyge,4ROXK7Hp0z9BJtX5j4cndo,https://i.scdn.co/image/ab67616d00004851a30816f69ea2080bd9341a8c
192Pc9ePeg7k75XHdBtjce,Toufic Farroukh,Callipyge - Intro,4ROXK7Hp0z9BJtX5j4cndo,https://i.scdn.co/image/ab67616d00004851a30816f69ea2080bd9341a8c
3lYvSGYzVig7gUo7nWk9gU,Toufic Farroukh,Cendres,4Mf8UroqvsIsCVxYCdpVz6,https://i.scdn.co/image/ab67616d0000485187cd2972be920961ee55a7ae
5bUu9LoZ69GUHg9kc1vuST,Toufic Farroukh,Dance for My Father,24nQLenPkikcWtkfXtYUcp,https://i.scdn.co/image/ab67616d00004851153fd4b79d2d256432cf7f82
7cE3pmvpqN75KV8HLhMl6I,Toufic Farroukh,Destins et désirs,4Mf8UroqvsIsCVxYCdpVz6,https://i.scdn.co/image/ab67616d0000485187cd2972be920961ee55a7ae
0lDelfiTf35anbxFCDgv2w,Toufic Farroukh,Elhob ?!,4Mf8UroqvsIsCVxYCdpVz6,https://i.scdn.co/image/ab67616d0000485187cd2972be920961ee55a7ae
0HR8QkUnd8rpI6E6PXkKln,Toufic Farroukh,Fayrouz Blues,24nQLenPkikcWtkfXtYUcp,https://i.scdn.co/image/ab67616d00004851153fd4b79d2d256432cf7f82
5nEsPmwrqlk2Wlq34qTa1U,Toufic Farroukh,Fusic,4ROXK7Hp0z9BJtX5j4cndo,https://i.scdn.co/image/ab67616d00004851a30816f69ea2080bd9341a8c
5caNAShFenb6HUxtyXnfHH,Toufic Farroukh,Hanina,4Mf8UroqvsIsCVxYCdpVz6,https://i.scdn.co/image/ab67616d0000485187cd2972be920961ee55a7ae
4T05TM4xGteSgjr1y1gzP6,Toufic Farroukh,Kaf Skoon,4ROXK7Hp0z9BJtX5j4cndo,https://i.scdn.co/image/ab67616d00004851a30816f69ea2080bd9341a8c
4T05TM4xGteSgjr1y1gzP6,Toufic Farroukh,Kaf Skoon - Intro,4ROXK7Hp0z9BJtX5j4cndo,https://i.scdn.co/image/ab67616d00004851a30816f69ea2080bd9341a8c
0OxzE0jCScjuhKeTLOTjWe,Toufic Farroukh,L'homme qui a perdu son ombre,4ROXK7Hp0z9BJtX5j4cndo,https://i.scdn.co/image/ab67616d00004851a30816f69ea2080bd9341a8c
22PUIByS0qym8YeqJn4f6T,Toufic Farroukh,Lady Moon,1oaMXT9IlDpD0eHoWxMQ0F,https://i.scdn.co/image/ab67616d000048519e67ee17f37d71c8d48d32d9
5T5ByCEZ99crSGUjy5uJY6,Toufic Farroukh,Land of Milk and Money,4ROXK7Hp0z9BJtX5j4cndo,https://i.scdn.co/image/ab67616d00004851a30816f69ea2080bd9341a8c
10GgsEdhnzSU61np6kemld,Toufic Farroukh,Like Desire,0HMbqgHiTt9Q12mZlapqFM,https://i.scdn.co/image/ab67616d000048511c207a1dff7e66cead22e0a0
6RUi9dJJySFILgYjTZWM9V,Toufic Farroukh,Lili s'en fout,4ROXK7Hp0z9BJtX5j4cndo,https://i.scdn.co/image/ab67616d00004851a30816f69ea2080bd9341a8c
2GnZ3F8zOoo3NaXX2h2Xym,Toufic Farroukh,Long Distance Call - LDC,4Mf8UroqvsIsCVxYCdpVz6,https://i.scdn.co/image/ab67616d0000485187cd2972be920961ee55a7ae
21rDXNlHtrOIZ9FfZOKtCB,Toufic Farroukh,Maïssa's Look,24nQLenPkikcWtkfXtYUcp,https://i.scdn.co/image/ab67616d00004851153fd4b79d2d256432cf7f82
3NWDnb0RjGVDwsLSSpHx1h,Toufic Farroukh,Miss Understood,1oaMXT9IlDpD0eHoWxMQ0F,https://i.scdn.co/image/ab67616d000048519e67ee17f37d71c8d48d32d9
0pHLP4IvNds6fnIVAAl1HK,Toufic Farroukh,Mr. Tib,1oaMXT9IlDpD0eHoWxMQ0F,https://i.scdn.co/image/ab67616d000048519e67ee17f37d71c8d48d32d9
1JFeVCem804c67EiojrC6z,Toufic Farroukh,Only Lonely,4Mf8UroqvsIsCVxYCdpVz6,https://i.scdn.co/image/ab67616d0000485187cd2972be920961ee55a7ae
0Eleucl5FNMytslit7QwO0,Toufic Farroukh,Radio City,4Mf8UroqvsIsCVxYCdpVz6,https://i.scdn.co/image/ab67616d0000485187cd2972be920961ee55a7ae
6VjVp5pVsfTNrUf68QvC7B,Toufic Farroukh,Rio de Cairo,1oaMXT9IlDpD0eHoWxMQ0F,https://i.scdn.co/image/ab67616d000048519e67ee17f37d71c8d48d32d9
34Fp4WBO1HHS74zl8ynDpe,Toufic Farroukh,Sacrecrow and Peacock,4Mf8UroqvsIsCVxYCdpVz6,https://i.scdn.co/image/ab67616d0000485187cd2972be920961ee55a7ae
3zaCOVywxgc6muEwaw2BW4,Toufic Farroukh,Serotina,1oaMXT9IlDpD0eHoWxMQ0F,https://i.scdn.co/image/ab67616d000048519e67ee17f37d71c8d48d32d9
77aU0jo2MRrsf7FTbzQTiP,Toufic Farroukh,"She's Happy - From ""Nour""",4oCfkOrSG3dZCKoVUeAh0V,https://i.scdn.co/image/ab67616d000048510b528f6be789c4755ee96b70
6zPwtClhgLuTMhmENpl5SC,Toufic Farroukh,Sugar Dissolvant,24nQLenPkikcWtkfXtYUcp,https://i.scdn.co/image/ab67616d00004851153fd4b79d2d256432cf7f82
4P38KJ4LIOlsWlQp4OD1gB,Toufic Farroukh,"Systole, diastole",4Mf8UroqvsIsCVxYCdpVz6,https://i.scdn.co/image/ab67616d0000485187cd2972be920961ee55a7ae
3uc4jERfYr5oNMLj6B8eRQ,Toufic Farroukh,The Girl from Gypsy Moon,4Mf8UroqvsIsCVxYCdpVz6,https://i.scdn.co/image/ab67616d0000485187cd2972be920961ee55a7ae
5e3T4SZ61HY0YnCmKF94oV,Toufic Farroukh,The Last Scene,3ZYirkiDB1VAr7vjHmf35u,https://i.scdn.co/image/ab67616d0000485130d7e6cac94dec441a1bd905
0uiJ5lvoeaDJjdIWsLyDzK,Toufic Farroukh,The Pain in Spain Stays Mainly in the Brain,4ROXK7Hp0z9BJtX5j4cndo,https://i.scdn.co/image/ab67616d00004851a30816f69ea2080bd9341a8c
32DXuX65rQvapQrGvEntiY,Toufic Farroukh,"To Swagger - From ""Nour""",4oCfkOrSG3dZCKoVUeAh0V,https://i.scdn.co/image/ab67616d000048510b528f6be789c4755ee96b70
44LotsZWc5CGbYtmTXXTSR,Toufic Farroukh,V.S.A. (Villes-sur-Auzon),1oaMXT9IlDpD0eHoWxMQ0F,https://i.scdn.co/image/ab67616d000048519e67ee17f37d71c8d48d32d9
6bfvkSSZRed3hFQIHM5Oi7,Toufic Farroukh,Villes invisibles,1oaMXT9IlDpD0eHoWxMQ0F,https://i.scdn.co/image/ab67616d000048519e67ee17f37d71c8d48d32d9
5cm72aA2xXI7qje0ejsFAG,Toufic Farroukh,Villes invisibles (Intro),1oaMXT9IlDpD0eHoWxMQ0F,https://i.scdn.co/image/ab67616d000048519e67ee17f37d71c8d48d32d9
6f31watZAN8sftrtiKzD77,Toufic Farroukh,"Waiting - From ""Un homme d'honneur""",4oCfkOrSG3dZCKoVUeAh0V,https://i.scdn.co/image/ab67616d000048510b528f6be789c4755ee96b70
7hq7tGcCLjKVJGRdKaQnLe,Toufic Farroukh,Ya Habibi,4Mf8UroqvsIsCVxYCdpVz6,https://i.scdn.co/image/ab67616d0000485187cd2972be920961ee55a7ae
3zpuZniLvXiLTMot9fCIwU,Toufic Farroukh,Ya nassim alrouh,4Mf8UroqvsIsCVxYCdpVz6,https://i.scdn.co/image/ab67616d0000485187cd2972be920961ee55a7ae
0tBAT5NugCTPG3W5mKpbn4,Townes Van Zandt,Lungs,6KFVwdp9yZczVIVv4glWue,https://i.scdn.co/image/ab67616d000048513c883be3287c02f857e91c06
5YAPlTgnNDKmagJBccKaeR,Traffic,(Roamin' Thro' The Gloamin' With) 40.000 Headman,0HXUEUFACh0b3VBhm7jBhi,https://i.scdn.co/image/ab67616d00004851b545a987c7dbb3040027d38a
53coIAVjFyLXxJ1hVjet7P,Traffic,Berkshire Poppies,3E9GiUlnRL2Sq0mstTSElN,https://i.scdn.co/image/ab67616d000048510de1166a425366bf512133f4
5CGpPUcUahMuLzkNK9ZgPP,Traffic,Dear Mr. Fantasy,0tAMTTxU0e84QFhrNhQNIT,https://i.scdn.co/image/ab67616d00004851607f5d1d15bdb8a450840ccf
