artist,track,track_id,flag
Archie Shepp,Damn If I Know (The Stroller),7lU5TDFMrJZv7johVNn8hR,2
Archie Shepp,"Dr. King, The Peaceful Warrior",0MKeNeFMYuSCv3PAoAammD,1
Archie Shepp,Fiesta,1sa8ec3F8SCQtYYcqlSxge,1
Archie Shepp,Frankenstein,0RhmIJSHOPixnjSugQ2rOv,1
Archie Shepp,Invocation To Mr. Parker,0sPwq2H9QVeio1W3QX1vkv,1
Archie Shepp,Invocation: Attica Blues,0sPwq2H9QVeio1W3QX1vkv,1
Archie Shepp,Invocation: Ballad For A Child,7tAoYrX0MOuSXwKtS4zb0T,1
Archie Shepp,New Africa,7AcO6aJciX6N5bywkzyy5R,2
Archie Shepp,Sophisticated Lady,76HeN447wl5isHBUvg400g,8
Archie Shepp,Steam (Part 1),2CsJmLlPQI24vl9OGY0BkS,1
Area,Arbeit macht frei,2LPJZo0XENiL1BP0Mwjf2I,4
Area,Area 5,7fz1RiuhTrxlMe8CzaJUV6,1
Area,Brujo,2r7qYAbR1YdSTjGuqRXhcw,3
Area,Cometa rossa,5OfcrSz0R7e8qwGsFGAkzi,3
Area,Cometa rossa - Live 1975,4dk81rEMGxanU9JZ9wsNu9,1
Area,Consapevolezza,6qZOor6ogS9HOoOBOwfWJg,3
Area,Diforisma urbano,6YezusPVtx92CgNWw7eOXx,2
Area,Evaporazione,3F8L6cHz74ojAi62LU9lxQ,3
Area,Gerontocrazia,0gxCaNj8D1RJ76zPKVQnh3,3
Area,Guardati dal mese vicino all'aprile - 2018 Remaster,4wN7oT78emIkTOxVTmRuIE,0
Area,Hommage à Violette Nozières - 2018 Remaster,3BUtisXLn0ZLyosevLMmRI,1
Area,Ici on dance! - 2018 Remaster,0f7qnFOxPKk41qyLGRq30E,1
Area,Il bandito del deserto - 2018 Remaster,3cKqnl1BTa37XVM864UARB,1
Area,Implosion,1Cik6ACFfxKJcZhkJFZBKT,2
Area,Interno con figure e luci - 2018 Remaster,1MLMzykjRjO8Hujh2Ic2qt,1
Area,L'elefante bianco,0MH7baopcs2vSSojpx99G2,0
Area,La mela di Odessa (1920),4cdNfpYWjqIv6aal7wbETb,4
Area,Lobotomia,2ME7dc3uKqw6kt6zo7gMn1,3
Area,"Luglio, agosto, settembre (nero)",0TPr5hnZsUpJcibgC9U4OS,3
Area,"Luglio, agosto, settembre (nero) - Live 1975",4Dm5bZF9kPLYFO4LuYixFC,2
Area,Megalopoli,04KlcdWJHN1AhoJClz5Ax4,3
Area,Mirage!,4mrSGTcooXTSc8PHCxsrGT,3
Area,Nervi scoperti,6AtzzRQyOdBu2oG62nwIWY,3
Area,Return from Workuta - 2018 Remaster,0xbrKP2BeI6jUIe1IRTwWy,1
Area,ZYG (Crescita zero),3a2gLPG8HvkKHxrvJk34ym,1
Arti & Mestieri,Aria pesante,2kDIE7NIvWqXNMhOSjsyws,1
Arti & Mestieri,Arterio (sclerosi),1q8g7GRP0BYA0PDkZ23arf,1
Arti & Mestieri,Articolazioni,3QzJft0yDPttvTJXEFQX3N,1
Arti & Mestieri,"Consapevolezza, Pt. 1",3Aqwtfw2KakRvpxycnl9yk,1
Arti & Mestieri,"Consapevolezza, Pt. 2",0utWmKHGilslElvwLvpvfl,1
Arti & Mestieri,Dimensione terra,3s6AUZ7mKLC6LX4e3VE9wM,1
Arti & Mestieri,Marilyn,6TAruAJQxAIsVU2O3ExPHh,1
Arti & Mestieri,Mescal,46qTBpG6PMQBrvO10f1eDl,1
Arti & Mestieri,Mescalero,46qTBpG6PMQBrvO10f1eDl,1
Arti & Mestieri,Mirafiori,3MjnOFvEH40aVq2fmqlZeX,1
Arti & Mestieri,Nove lune dopo,4eRQ8OylkilwrcTFMpmwVi,1
Arti & Mestieri,Quinto stato (emarginato),1OjGLyL4gzLJGlrkXMz1ou,1
Arti & Mestieri,Rinuncia,0uihVMdShPQxnuJHXlIx08,1
Arti & Mestieri,Sagra,7LNHQc4Nw0xL03SHAP4o7s,1
Arti & Mestieri,Saper sentire,34mCaPoL7O2orY7W6heSnC,1
Arti & Mestieri,Terminal,65bjyudTwJgsQuCzH6fapi,1
Arti & Mestieri,Tilt,4wwCWoqITC94YTHZnHhbbX,1
Arti & Mestieri,Torino nella mente,69HvjDgdFiGbyBhEv15Lj5,1
Arti & Mestieri,Vicolo,6keXlv0Q9iT34OWIOLAjuy,1
BAP,Wofür?,083i69R5kIyhBuG1hcpCJY,1
Banco Del Mutuo Soccorso,10 Giugno 1924,2DyxhTrCPqzGP5OugqhyWn,1
Banco Del Mutuo Soccorso,750.000 Anni Fa... L'Amore? - Live,7DkiptvNa3vCEZHTHySxqB,0
Banco Del Mutuo Soccorso,Allons Enfants,7w9eMLoKCWKZGoo7FMsQos,2
Banco Del Mutuo Soccorso,Baciami Alfredo,5Yt3iDajTvgVF4QG49jvK3,2
Banco Del Mutuo Soccorso,Bisbigli,2gEEcSRC8r5vxsToney0Sk,1
Banco Del Mutuo Soccorso,"Buonanotte, Sogni D'Oro",4CLjpgZKwB9JcfpYKbwqPg,0
Banco Del Mutuo Soccorso,Buone notizie,55oXXBRJfA4WMHBFPkng9O,3
Banco Del Mutuo Soccorso,Campi di Fragole,5D89JSsYD209JA2FTTwHtS,1
Banco Del Mutuo Soccorso,Canto Di Primavera - Live,2O1ZRCBNb8LtBIaK9cj4g5,1
Banco Del Mutuo Soccorso,Capolinea (1° Parte) - Live,0vhHzJrc7HEFaSGstiivLE,1
Banco Del Mutuo Soccorso,Capolinea (2° Parte) - Live,1Dbb4UdtSFfygonkIK2OJG,1
Banco Del Mutuo Soccorso,Circobanda,6tBPTJgj6C9WGILOrz0oa1,1
Banco Del Mutuo Soccorso,Di Terra - Remastered 2022,1aXqCD62UKqIRa5EMdNTdZ,1
Banco Del Mutuo Soccorso,Donna plautilla,4htHbtuxSBsVVfgHzBMI5Z,2
Banco Del Mutuo Soccorso,Dove sarà,1fGmJtZnFwipElyDb09ZAd,2
Banco Del Mutuo Soccorso,Eterna Transiberiana,4SUkmacoah9Jr3wzfBkS04,1
Banco Del Mutuo Soccorso,Fino Alla Mia Porta,2rWEbA4iZyJ0jMthYmKkSs,2
Banco Del Mutuo Soccorso,Funerale,6AwG2cptOw0aX1USOvxvld,1
Banco Del Mutuo Soccorso,Garofano Rosso - Live,05VyUyjbWwbx5btYraz0ju,1
Banco Del Mutuo Soccorso,I ruderi del gulag,7t4TGn0RQGpuf2mZu9YitT,2
Banco Del Mutuo Soccorso,Il Ragno - Live,4a06zMXVRJgm4HqkpsXjPi,1
Banco Del Mutuo Soccorso,Il grande bianco,5rR9CaTN6nZN6tbcKuoC75,1
Banco Del Mutuo Soccorso,Il ragno - Live at Festival Prog di Veruno 2018,4a06zMXVRJgm4HqkpsXjPi,1
Banco Del Mutuo Soccorso,Interno Città,2D50VIuM5mR9e9HiGIcCQp,1
Banco Del Mutuo Soccorso,Io Vivo (Fusione Per Trenta Elementi) - Remastered 2022,2LAMNnb7R06Xn6g5tyjVoo,1
Banco Del Mutuo Soccorso,L'assalto dei lupi,1QBrYoaTGimufzmCaZmf8P,0
Banco Del Mutuo Soccorso,L'imprevisto,225QtcURYf3beqFQeSHxh3,0
Banco Del Mutuo Soccorso,La Danza Dei Grandi Rettili,6f5m4qtX0PfPo2klpZUlUj,4
Banco Del Mutuo Soccorso,La Notte È Piena,2w1DcOhb84rBrtd6bFaBAL,1
Banco Del Mutuo Soccorso,La Pianura Rossa,5LewMM2wYSUiEqnEhbUE89,2
Banco Del Mutuo Soccorso,La conquista della posizione eretta,0IIqCCfKmobPchLsO6YYHy,5
Banco Del Mutuo Soccorso,La discesa dal treno,0O9dtCsMTsVIo0tF8AVJQ5,1
Banco Del Mutuo Soccorso,Lasciando alle spalle,5WCY6WwclaJatzsVl1pAhy,1
Banco Del Mutuo Soccorso,Lo sciamano,5CXEyrBbJQnWfAHfuuWyTJ,1
Banco Del Mutuo Soccorso,Lungo Il Margine,54prjlEmGpX8gBHF9516m5,1
Banco Del Mutuo Soccorso,Metamorfosi - Live at Festival Prog di Veruno 2018,6Y1EIqJuZiSeLPvJhkKC2W,1
Banco Del Mutuo Soccorso,Mexico City,40cFljl4F67iat5cwOhOIL,4
Banco Del Mutuo Soccorso,Moyo Ukoje,5kjBkYHQxKSdAc8bBBKfox,1
Banco Del Mutuo Soccorso,Nei Suoni E Nei Silenzi (Pulsazioni In Si Minore) - Remastered 2022,5zJry9SGXpj3eUTMFR2k1p,1
Banco Del Mutuo Soccorso,Nel Cielo E Nelle Altre Cose Mute (Do Largo) - Remastered 2022,3coFCSRPmQ3U0sy6tiWyWy,1
Banco Del Mutuo Soccorso,Ninna nanna,4gXOKfgeihbAQHnYIZjm9o,3
Banco Del Mutuo Soccorso,Non Mi Rompete - Live,2VSWCGfpdqp8afhvY4VPOj,1
Banco Del Mutuo Soccorso,Non Senza Dolore (Chorale In Fa Minore) - Remastered 2022,36bhCJ4pbogv4FyhrfMBBL,1
Banco Del Mutuo Soccorso,Né Più Di Un Albero Non Meno Di Una Stella (Do Gruppo) - Remastered 2022,1UnoIwVRPeIeKjj1knEMyn,1
Banco Del Mutuo Soccorso,Oceano: Strade di sale,14be8GoAxJmWbqUmoywJzk,1
Banco Del Mutuo Soccorso,Passeggiata In Bicicletta E Corteo Di Dimostranti,3c4RWhwqV1cPgl46xQsL5a,1
Banco Del Mutuo Soccorso,Pioverà,6XkhT9nIRt1jbju1EVdipC,3
Banco Del Mutuo Soccorso,Proemio,1QJgkFxhKGPioBYItKzRHW,1
Banco Del Mutuo Soccorso,Quando La Buona Gente Dice,1beuHGPIQjDGvHEztJnZnd,1
Banco Del Mutuo Soccorso,Quasi Saltarello,6anZB07jebMinXFZyBrYdZ,1
Banco Del Mutuo Soccorso,R.I.P. (Requiescant In Pace) - Live,1eFgfvA5yuetLavdrCKIDW,1
Banco Del Mutuo Soccorso,Senza Riguardo,75m0GQn4SBD2rD5856SxIA,1
Banco Del Mutuo Soccorso,Sono La Bestia,1mTsmb3MpLvxKVfnzUJ6JF,1
Banco Del Mutuo Soccorso,Stelle sulla terra,6AJkBfMG04lro36znKVag3,1
Banco Del Mutuo Soccorso,Terramadre (Sol Improvviso) - Remastered 2022,6Mob2WhsyQQeMqjnczLQVf,1
Banco Del Mutuo Soccorso,Velocità,5VS9MK2kCWCwG0zIi6YGUM,2
Banco Del Mutuo Soccorso,Voilà Mida! (Il Guaritore),16GL6rJN2g4u1v37ZFmHvV,1
Banco Del Mutuo Soccorso,Zobeida,5GbNf6sCdOiKlrdkCgP41m,1
Beggars Opera,Impromtpu,0ubGe9zn2OKQHRXiMAMx8a,1
Beggars Opera,Memory,5EyfGISuMZ4NBDbcTySDrR,2
Beggars Opera,Pathfinder,0q8uhGUN9CddoQ4JiW084r,2
Bill Bruford's Earthworks,A Stone's Throw,689zjGp8QMDTW75ozFo5e1,0
Bill Bruford's Earthworks,Bridge of Inhibition,2RWEwq3VFFLugXW3RFn1B2,3
Bill Bruford's Earthworks,Emotional Shirt,283KTCHbJ7unRMFo3bm98Z,4
Bill Bruford's Earthworks,It Needn't End In Tears,7tIqxJ80hQFXDEXidM5yqx,0
Bill Bruford's Earthworks,It Needn't End in Tears,7tIqxJ80hQFXDEXidM5yqx,0
Bill Bruford's Earthworks,Making a Song and Dance,0SxePj9Ar5IFMKJacPgd0U,1
Bill Bruford's Earthworks,My Heart Declares a Holiday,7lzGrVVu1x7cO0bFIYctTb,1
Bill Bruford's Earthworks,Pressure,0WmnyzPYwoDwoe7yWyz5EI,2
Bill Bruford's Earthworks,The Shepherd Is Eternal,5kcBPBJJJ2o4uuYAthcfKk,2
Bill Bruford's Earthworks,Thud,0Qc80U1jKZC3Khcdchi1o9,3
Bill Bruford's Earthworks,Up North,4rmewFcO27MAulEUF6iTYf,6
Black Sabbath,A National Acrobat (2009 Remaster),6iJuDBangLQkI7cc9MdjPw,1
Black Sabbath,Behind the Wall of Sleep - 2009 Remaster,5JYanX4zPe3uX3nShgE0qR,1
Black Sabbath,Children of the Sea,7MDBR4dEvtOGNyOBKNmP8n,2
Black Sabbath,Heaven and Hell,5qxN63QA4Hk1zgdLCsZFE2,2
Black Sabbath,Into the Void (2009 Remaster),09EQqFGUTJW6X4NksMPM0O,1
Black Sabbath,Laguna Sunrise - 2009 Remaster,2HuDXpZPIXiEQbFBUXqktZ,2
Black Sabbath,N.I.B. - 2009 Remaster,3XclwoQxz4p6Dl7VUf90KW,3
Black Sabbath,Orchid (2009 Remaster),42HN6p1xRxAn439UH1MJ6G,1
Black Sabbath,Sabbath Bloody Sabbath (2009 Remaster),29KYPEsbcMcVKnd6iyu6Q5,1
Black Sabbath,Sleeping Village - 2009 Remaster,1K8N1137M0cVuKEzLTBmLg,1
Black Sabbath,Solitude (2009 Remaster),6VfoT86lDJ18YhLCDHKgEL,1
Black Sabbath,Zeitgeist,4HFRItYjNrcwT6Vbtbk2i4,3
"Blood, Sweat & Tears",I Love You More Than You'll Ever Know,608HuKHFh2N62z3Ja5vxXj,0
