artist,genres_
Focus,Art Rock/Dutch Prog/Flute Rock/Nederpop/Progressive Rock/Symphonic Rock
Franco Battiato,Classic Italian Pop/Experimental/Italian Adult Pop
Frank Zappa,Art Rock/Blues Rock/Experimental/Instrumental Rock/Jazz Fusion/Jazz Rock/Progressive Rock/Proto-metal/Psychedelic Rock/Symphonic Rock/Zolo
Free,Album Rock/Blues Rock/British Blues/Classic Rock/Hard Rock
Genesis,Album Rock/Art Rock/Classic Rock/Hard Rock/Mellow Gold/New Romantic/Progressive Rock/Rock/Soft Rock/Symphonic Rock
Gentle Giant,Progressive Rock/Symphonic Rock/Zolo
George Harrison,Album Rock/Classic Rock/Folk Rock/Mellow Gold/Rock/Singer-songwriter/Soft Rock
Gianna Nannini,Classic Italian Pop/Italian Adult Pop/Italian Pop
Golden Earring,Album Rock/Dutch Prog/Dutch Rock/Nederpop
Gong,Canterbury Scene/Experimental/Progressive Rock/Rock Progressif Francais/Space Rock/Symphonic Rock/Zolo
Grateful Dead,Cosmic American/Jam Band/Psychedelic Rock
Greta Van Fleet,Modern Blues Rock/Modern Hard Rock/Rock
Grobschnitt,Krautrock
Gustav Holst,British Modern Classical/Classical/Post-romantic Era
Gábor Szabó,Spiritual Jazz
Hamid Baroudi,Rai
Hank Mobley,Bebop/Hard Bop/Jazz/Jazz Saxophone
Hatfield & The North,Canterbury Scene/Jazz Rock/Progressive Rock
Herbie Hancock,Contemporary Post-bop/Instrumental Funk/Jazz/Jazz Funk/Jazz Fusion/Jazz Piano
Herbie Mann,Jazz Flute/Jazz Funk/Soul Jazz
Horace Silver,Bebop/Hard Bop/Jazz/Jazz Piano
Howlin' Wolf,Acoustic Blues/Blues/Chicago Blues/Delta Blues/Harmonica Blues/Memphis Blues/Traditional Blues
Igor Stravinsky,Classical/Early Modern Classical/Neoclassicism/Russian Modern Classical
Il Balletto di Bronzo,Beat Italiano/Italian Progressive Rock
Il Rovescio Della Medaglia,Italian Progressive Rock
Irmin Schmidt,Krautrock
Iron Butterfly,Acid Rock/Album Rock/Blues Rock/Classic Rock/Country Rock/Folk Rock/Hard Rock/Proto-metal/Psychedelic Rock/Symphonic Rock
Iron Maiden,Alternative Metal/Hard Rock/Metal/Nwobhm/Rock
Ivan Graziani,Canzone D'autore/Classic Italian Pop/Italian Adult Pop
J.J. Cale,Blues/Blues Rock/Folk Rock/Roots Rock/Singer-songwriter
Jackson Browne,Album Rock/Classic Rock/Country Rock/Folk/Folk Rock/Heartland Rock/Mellow Gold/Piano Rock/Singer-songwriter/Soft Rock
Jaco Pastorius,Contemporary Post-bop/Electric Bass/Jazz/Jazz Funk/Jazz Fusion
James Gang,Album Rock/Blues Rock/Classic Rock/Country Rock/Electric Blues/Folk Rock/Hard Rock/Mellow Gold/Proto-metal/Southern Rock
Janko Nilovic,Library Music
Jasper van't Hofs Pili Pili,
Jean-Luc Ponty,French Jazz/Jazz Fusion/Jazz Violin/Progressive Rock/Rock Progressif Francais
